CITY,STATE,COUNTRY,GENDER,AGE,MARITAL_STATUS,PROFESSION,REPELLENT_NEGTWEETS,TENT_NEGTWEETS,REPELLENT,TENT
Fukui,NA,Japan,F,27,Single,Other,2,9,TRUE,FALSE
Bellinzona,NA,Switzerland,M,20,Single,Other,2,0,FALSE,TRUE
Kazan,NA,Russia,M,27,Single,Professional,7,0,FALSE,TRUE
Bellinzona,NA,Switzerland,F,33,Married,Other,2,1,TRUE,TRUE
Braunschweig,NA,Germany,M,32,Single,Other,5,0,FALSE,TRUE
Mendota Heights,MN,United States,F,30,Married,Hospitality,3,3,TRUE,FALSE
Sion,NA,Switzerland,F,34,Married,Other,2,11,TRUE,FALSE
Yellowknife,NT,Canada,M,29,Single,Sales,4,2,FALSE,TRUE
Nagaur,RJ,India,F,35,Married,Other,1,9,TRUE,FALSE
Springfield,VA,United States,M,23,Single,Other,4,2,FALSE,TRUE
Heihe,NA,China,M,23,Single,Professional,6,1,FALSE,TRUE
Osasco,BR-SP,Brazil,M,44,Married,Other,9,2,FALSE,TRUE
Enschede,NA,Netherlands,M,38,Married,Executive,6,2,FALSE,TRUE
Twin Falls,ID,United States,M,26,Single,Trades,4,2,FALSE,TRUE
Kushiro,NA,Japan,F,29,Married,Retail,3,9,TRUE,FALSE
Portsmouth,NA,United Kingdom,M,20,Single,Professional,6,3,FALSE,TRUE
Delhi,NCT,India,F,43,Married,Executive,8,1,FALSE,TRUE
Lübeck,NA,Germany,M,28,Single,Other,6,2,FALSE,TRUE
Gaspé,QC,Canada,F,44,Married,Other,6,1,FALSE,TRUE
Astrakhan,NA,Russia,M,30,Married,Executive,6,2,FALSE,TRUE
Chihuahua,NA,Mexico,M,34,Married,Student,3,1,FALSE,TRUE
Cangzhou,NA,China,F,60,Married,Other,7,1,FALSE,TRUE
Sion,NA,Switzerland,M,25,Single,Sales,6,0,FALSE,TRUE
Leoben,NA,Austria,M,29,Single,Trades,3,2,FALSE,TRUE
Bedford,NA,United Kingdom,F,33,Married,Hospitality,1,6,TRUE,FALSE
Erfurt,NA,Germany,M,23,Single,Professional,6,3,FALSE,TRUE
Timóteo,BR-MG,Brazil,F,60,Married,Other,6,0,FALSE,TRUE
Nimes,NA,France,M,23,Single,Professional,9,1,FALSE,TRUE
Kasugai,NA,Japan,F,27,Married,Other,1,9,TRUE,FALSE
Toronto,ON,Canada,F,20,Married,Retail,3,8,TRUE,FALSE
Frederikshavn,NA,Denmark,M,21,Single,Retail,0,5,TRUE,FALSE
South San Francisco,CA,United States,M,32,Married,Other,4,2,FALSE,TRUE
Kyoto,NA,Japan,M,31,Married,Trades,6,2,FALSE,TRUE
São João de Meriti,BR-RJ,Brazil,M,29,Single,Professional,6,2,FALSE,TRUE
Chemnitz,NA,Germany,M,30,Single,Other,7,1,FALSE,TRUE
Chongqing,NA,China,F,27,Married,Other,9,2,FALSE,TRUE
Kasugai,NA,Japan,M,25,Single,Other,6,1,FALSE,TRUE
Great Yarmouth,NA,United Kingdom,F,25,Single,Other,4,9,TRUE,FALSE
Krymsk,NA,Russia,M,25,Single,Professional,10,1,FALSE,TRUE
Albuquerque,NM,United States,M,28,Single,Trades,5,2,FALSE,TRUE
Köln,NA,Germany,F,47,Unspecified,Hospitality,2,7,TRUE,FALSE
Wenatchee,WA,United States,M,31,Married,Other,8,2,FALSE,TRUE
Chyofu,NA,Japan,F,36,Married,Executive,7,2,FALSE,TRUE
Shimonoseki,NA,Japan,M,29,Single,Other,4,2,FALSE,TRUE
Volta Redonda,BR-RJ,Brazil,M,26,Single,Other,7,2,FALSE,TRUE
Berlin,NA,Germany,F,37,Married,Other,1,1,TRUE,TRUE
Padova,PD,Italy,M,20,Single,Sales,9,2,FALSE,TRUE
Osasco,BR-SP,Brazil,F,36,Married,Executive,1,4,TRUE,FALSE
St. Pölten,NA,Austria,M,23,Single,Other,10,1,FALSE,TRUE
Chengdu,NA,China,M,35,Married,Other,2,8,TRUE,FALSE
Shimonoseki,NA,Japan,F,37,Married,Other,6,0,FALSE,TRUE
Petrópolis,BR-RJ,Brazil,F,46,Married,Executive,2,1,TRUE,TRUE
Chongqing,NA,China,F,21,Single,Other,9,0,FALSE,TRUE
Lausanne,NA,Switzerland,M,19,Single,Trades,5,2,FALSE,TRUE
Wenatchee,WA,United States,M,27,Single,Sales,7,3,FALSE,TRUE
Dübendorf,NA,Switzerland,M,40,Married,Other,1,8,TRUE,FALSE
Bari,BA,Italy,M,29,Single,Sales,4,0,FALSE,TRUE
Pamplona,NA,Spain,M,28,Single,Professional,8,3,FALSE,TRUE
Ketchikan,AK,United States,F,54,Married,Other,4,3,FALSE,TRUE
Utrecht,NA,Netherlands,M,23,Single,Other,6,0,FALSE,TRUE
Linz,NA,Austria,F,26,Single,Other,7,1,FALSE,TRUE
Wuhan,NA,China,M,24,Single,Student,5,4,FALSE,TRUE
Annapolis Junction,MD,United States,M,27,Single,Other,9,3,FALSE,TRUE
Nice,NA,France,M,23,Single,Sales,6,3,FALSE,TRUE
Stevenage,NA,United Kingdom,F,43,Married,Other,6,3,FALSE,TRUE
Roskilde,NA,Denmark,M,22,Single,Sales,9,2,FALSE,TRUE
Portland,OR,United States,M,41,Single,Sales,6,3,FALSE,TRUE
Changchun,NA,China,F,20,Married,Retail,2,6,TRUE,FALSE
Guangzhou,NA,China,F,36,Married,Other,3,1,FALSE,TRUE
Singapore,Singapore,Singapore,F,32,Married,Executive,4,1,FALSE,TRUE
Pensacola,FL,United States,M,36,Married,Other,4,0,FALSE,TRUE
Brasília,BR-DF,Brazil,M,21,Single,Other,7,2,FALSE,TRUE
Porto Alegre,BR-RS,Brazil,F,36,Married,Executive,8,2,FALSE,TRUE
Chengdu,NA,China,F,25,Married,Retail,1,7,TRUE,FALSE
Balneário Camboriú,BR-SC,Brazil,F,33,Single,Retail,2,5,TRUE,FALSE
Manzanilo,NA,Mexico,F,21,Single,Other,7,1,FALSE,TRUE
Changchun,NA,China,M,37,Married,Sales,10,0,FALSE,TRUE
Logroño,LO,Spain,M,24,Single,Executive,9,1,FALSE,TRUE
Shimla,HP,India,F,37,Married,Other,2,5,TRUE,FALSE
Singapore,Singapore,Singapore,F,34,Married,Retail,2,7,TRUE,FALSE
Adelaide,SA,Australia,M,21,Single,Sales,7,1,FALSE,TRUE
Changchun,NA,China,F,37,Married,Other,2,0,TRUE,TRUE
Angers,NA,France,M,43,Married,Trades,6,2,FALSE,TRUE
Aguascalientes,NA,Mexico,M,30,Single,Professional,4,2,FALSE,TRUE
Zapopan,NA,Mexico,F,48,Married,Executive,1,4,TRUE,FALSE
Bologna,NA,Italy,M,23,Single,Other,8,2,FALSE,TRUE
Huelva,NA,Spain,M,30,Single,Other,9,2,FALSE,TRUE
Heihe,NA,China,M,28,Single,Sales,8,1,FALSE,TRUE
Annapolis,MD,United States,M,25,Single,Professional,4,1,FALSE,TRUE
Fukui,NA,Japan,F,42,Unspecified,Hospitality,8,0,FALSE,TRUE
Bellinzona,NA,Switzerland,M,26,Single,Professional,8,0,FALSE,TRUE
Stuttgart,NA,Germany,F,38,Unspecified,Hospitality,11,2,FALSE,TRUE
Portsmouth,NA,United Kingdom,F,27,Single,Other,8,2,FALSE,TRUE
Yukhnov,NA,Russia,F,43,Married,Other,7,1,FALSE,TRUE
Batesville,MS,United States,M,23,Single,Executive,5,2,FALSE,TRUE
Maanshan,NA,China,M,23,Single,Professional,9,2,FALSE,TRUE
Nago,NA,Japan,M,40,Married,Professional,8,0,FALSE,TRUE
Huntsville,AL,United States,F,31,Married,Retail,2,8,TRUE,FALSE
Windsor,CT,United States,F,39,Married,Other,8,1,FALSE,TRUE
Zapopan,NA,Mexico,F,32,Married,Executive,11,3,FALSE,TRUE
Southampton,NA,United Kingdom,M,28,Single,Student,7,2,FALSE,TRUE
Bellinzona,NA,Switzerland,F,26,Single,Other,8,2,FALSE,TRUE
Playa del Carmen,NA,Mexico,M,42,Unspecified,Other,3,2,TRUE,TRUE
Plaquemine,LA,United States,F,23,Single,Other,1,7,TRUE,FALSE
Lausanne,NA,Switzerland,M,47,Married,Professional,7,2,FALSE,TRUE
Campos dos Goytacazes,BR-RJ,Brazil,F,23,Single,Hospitality,7,1,FALSE,TRUE
Mulhouse,NA,France,M,38,Married,Executive,5,2,FALSE,TRUE
Brisbane,Qld,Australia,M,31,Married,Other,6,0,FALSE,TRUE
Genève,NA,Switzerland,M,37,Married,Other,3,0,FALSE,TRUE
Dillon,SC,United States,M,31,Married,Other,2,8,TRUE,FALSE
Suwa,NA,Japan,F,29,Single,Student,4,3,FALSE,TRUE
Gaspé,QC,Canada,F,37,Unspecified,Hospitality,7,0,FALSE,TRUE
Napoli,NA,Italy,M,28,Married,Sales,6,2,FALSE,TRUE
Osnabrück,NA,Germany,F,37,Married,Other,5,2,FALSE,TRUE
Boulogne-Billancourt,NA,France,F,30,Married,Other,9,0,FALSE,TRUE
San Luis,NA,Mexico,M,33,Married,Executive,4,1,FALSE,TRUE
Tijuana,NA,Mexico,M,34,Single,Other,6,3,FALSE,TRUE
Göteborg,NA,Sweden,M,22,Single,Trades,12,1,FALSE,TRUE
Nizhny Novgorod,NA,Russia,F,48,Married,Executive,2,6,TRUE,FALSE
Melbourne,Vic,Australia,F,20,Married,Retail,2,10,TRUE,FALSE
Hamburg,NA,Germany,M,32,Single,Trades,5,2,FALSE,TRUE
Ryazan,NA,Russia,F,47,Married,Hospitality,6,0,FALSE,TRUE
Lappeenranta,NA,Finland,M,27,Single,Other,3,1,FALSE,TRUE
Cuernavaca,NA,Mexico,F,25,Married,Other,0,8,TRUE,FALSE
Aalborg,NA,Denmark,M,43,Married,Other,7,2,FALSE,TRUE
Sault Ste. Marie,ON,Canada,M,44,Married,Professional,8,1,FALSE,TRUE
San Sebastián,SS,Spain,F,48,Married,Hospitality,8,0,FALSE,TRUE
Leuven,NA,Belgium,F,27,Married,Other,1,5,TRUE,FALSE
Brisbane,Qld,Australia,F,36,Married,Executive,2,9,TRUE,FALSE
Kawasaki,NA,Japan,F,47,Married,Executive,4,2,FALSE,TRUE
Vancouver,OR,United States,F,32,Unspecified,Other,2,6,TRUE,FALSE
Cangzhou,NA,China,M,45,Married,Professional,7,3,FALSE,TRUE
Lethbridge,AB,Canada,M,28,Single,Trades,6,0,FALSE,TRUE
Exeter,NA,United Kingdom,F,46,Married,Executive,0,0,TRUE,TRUE
Malmö,NA,Sweden,F,36,Married,Other,2,5,TRUE,FALSE
Kyoto,NA,Japan,M,34,Single,Executive,6,1,FALSE,TRUE
Guarulhos,BR-SP,Brazil,M,32,Married,Sales,5,2,FALSE,TRUE
Namur,NA,Belgium,F,32,Married,Other,0,6,TRUE,FALSE
Dresden,NA,Germany,F,29,Married,Other,2,8,TRUE,FALSE
Frederiction,NB,Canada,F,21,Single,Other,2,1,TRUE,TRUE
Zaragoza,NA,Spain,M,30,Single,Other,7,3,FALSE,TRUE
Volta Redonda,BR-RJ,Brazil,M,24,Single,Retail,1,6,TRUE,FALSE
Balneário Camboriú,BR-SC,Brazil,F,30,Married,Other,4,2,FALSE,TRUE
Frankfurt,NA,Germany,F,39,Married,Other,1,7,TRUE,FALSE
Sault Ste. Marie,ON,Canada,F,48,Married,Other,7,3,FALSE,TRUE
Anchorage,AK,United States,F,25,Single,Student,3,1,FALSE,TRUE
Canberra,ACT,Australia,M,41,Married,Retired,1,8,TRUE,FALSE
Akishima,NA,Japan,F,30,Married,Executive,8,2,FALSE,TRUE
Charleston,SC,United States,F,25,Single,Other,7,2,FALSE,TRUE
Kawasaki,NA,Japan,F,30,Married,Executive,2,4,TRUE,FALSE
Logroño,NA,Spain,F,39,Married,Other,2,4,TRUE,TRUE
Chengdu,NA,China,F,33,Unspecified,Other,7,1,FALSE,TRUE
Rivière-du-Loup,QC,Canada,M,22,Single,Other,9,3,FALSE,TRUE
Trail,BC,Canada,M,36,Single,Sales,9,1,FALSE,TRUE
Spearfish,SD,United States,M,44,Married,Other,5,1,FALSE,TRUE
Stans,NA,Austria,M,32,Single,Trades,6,2,FALSE,TRUE
Brasília,BR-DF,Brazil,M,43,Married,Executive,5,1,FALSE,TRUE
New York,NY,United States,F,42,Married,Other,7,2,FALSE,TRUE
Brisbane,Qld,Australia,F,22,Married,Retail,1,4,TRUE,FALSE
Hiroshima,NA,Japan,M,21,Single,Sales,5,3,FALSE,TRUE
Hermosillo,NA,Mexico,M,21,Single,Other,2,2,TRUE,TRUE
Fredericia,NA,Denmark,M,21,Single,Professional,3,1,FALSE,TRUE
Campbell,CA,United States,M,20,Single,Executive,7,1,FALSE,TRUE
Ahmedabad,GJ,India,M,20,Single,Sales,7,3,FALSE,TRUE
Kristinehamn,NA,Sweden,F,32,Married,Other,5,2,FALSE,TRUE
Berlin,NA,Germany,M,29,Single,Trades,10,1,FALSE,TRUE
Sydney,NSW,Australia,F,38,Married,Retail,0,5,TRUE,FALSE
Ahmedabad,GJ,India,F,19,Single,Other,9,2,FALSE,TRUE
Roma,NA,Italy,M,25,Single,Other,4,3,FALSE,TRUE
Basildon,NA,United Kingdom,F,33,Married,Other,1,7,TRUE,FALSE
Halifax,NS,Canada,F,44,Married,Other,2,8,TRUE,FALSE
Essen,NA,Germany,M,24,Single,Sales,6,1,FALSE,TRUE
Dresden,NA,Germany,M,23,Single,Sales,6,3,FALSE,TRUE
Guangzhou,NA,China,M,20,Single,Trades,7,0,FALSE,TRUE
Saint-Etienne,NA,France,M,20,Single,Professional,6,2,FALSE,TRUE
Sterling Heights,MI,United States,M,42,Married,Other,5,0,FALSE,TRUE
Toulon,NA,France,M,34,Single,Professional,4,1,FALSE,TRUE
Portsmouth,NA,United Kingdom,F,31,Single,Retail,3,5,TRUE,FALSE
Caen,NA,France,F,38,Married,Other,2,3,TRUE,FALSE
Maanshan,NA,China,M,22,Single,Executive,10,1,FALSE,TRUE
Nijmegen,NA,Netherlands,F,33,Married,Executive,4,2,FALSE,TRUE
Luling,LA,United States,M,29,Single,Professional,5,2,FALSE,TRUE
Petrópolis,BR-RJ,Brazil,M,42,Married,Sales,8,2,FALSE,TRUE
Aix-en-Provence,NA,France,F,37,Single,Professional,2,6,TRUE,FALSE
Leuven,NA,Belgium,M,29,Single,Other,5,2,FALSE,TRUE
Brooklyn,NY,United States,M,25,Single,Trades,4,1,FALSE,TRUE
Bern,NA,Switzerland,F,35,Single,Retail,2,7,TRUE,FALSE
Singapore,Singapore,Singapore,F,35,Married,Other,1,8,TRUE,FALSE
Bordeaux,NA,France,M,27,Single,Professional,7,1,FALSE,TRUE
Chihuahua,NA,Mexico,M,44,Married,Sales,6,1,FALSE,TRUE
Portage La Prairie,MB,Canada,M,43,Married,Executive,6,0,FALSE,TRUE
Kissimmee,FL,United States,F,32,Married,Other,2,5,TRUE,FALSE
Essen,NA,Germany,M,22,Single,Executive,6,2,FALSE,TRUE
Hadano,NA,Japan,F,40,Married,Other,4,2,FALSE,TRUE
Perth,WA,Australia,F,44,Unspecified,Hospitality,3,2,FALSE,TRUE
Fort Lauderdale,FL,United States,M,30,Married,Other,8,1,FALSE,TRUE
Woodcote,NA,United Kingdom,M,36,Married,Sales,5,2,FALSE,TRUE
Madrid,NA,Spain,F,21,Single,Professional,2,6,TRUE,FALSE
Machida,NA,Japan,M,28,Married,Professional,3,1,FALSE,TRUE
Portage La Prairie,MB,Canada,F,24,Married,Retail,2,8,TRUE,FALSE
Fussa,NA,Japan,M,39,Married,Other,13,1,FALSE,TRUE
Davie,FL,United States,M,25,Single,Other,5,2,FALSE,TRUE
San Luis,NA,Mexico,F,24,Married,Retail,1,8,TRUE,FALSE
Mandrem,KA,India,M,22,Single,Student,7,2,FALSE,TRUE
Campos dos Goytacazes,BR-RJ,Brazil,F,33,Single,Retail,3,7,TRUE,FALSE
Limoges,NA,France,M,30,Married,Sales,7,1,FALSE,TRUE
Amherst,NY,United States,F,34,Married,Other,2,4,TRUE,FALSE
Sydney,NSW,Australia,F,33,Single,Retail,1,5,TRUE,FALSE
Le Havre,NA,France,F,31,Single,Retail,1,9,TRUE,FALSE
Jacksonville,FL,United States,M,28,Single,Trades,7,2,FALSE,TRUE
Chiba,NA,Japan,M,35,Single,Executive,7,2,FALSE,TRUE
Heihe,NA,China,M,20,Single,Trades,11,0,FALSE,TRUE
Suwa,NA,Japan,M,28,Married,Executive,1,4,TRUE,FALSE
Fuxin,NA,China,M,30,Married,Trades,7,1,FALSE,TRUE
Paris,NA,France,F,26,Married,Retail,3,9,TRUE,FALSE
Guarulhos,BR-SP,Brazil,F,37,Married,Other,1,5,TRUE,FALSE
Melbourne,Vic,Australia,F,23,Married,Retail,1,8,TRUE,FALSE
Dijon,NA,France,F,48,Married,Hospitality,7,1,FALSE,TRUE
Krymsk,NA,Russia,F,30,Married,Other,0,0,TRUE,TRUE
Tolyatti,NA,Russia,M,23,Single,Other,6,1,FALSE,TRUE
Sherbrooke,QC,Canada,M,22,Single,Student,12,1,FALSE,TRUE
Kawasaki,NA,Japan,M,39,Married,Executive,4,0,FALSE,TRUE
Singapore,Singapore,Singapore,F,22,Single,Hospitality,9,1,FALSE,TRUE
Brisbane,Qld,Australia,M,22,Single,Professional,7,2,FALSE,TRUE
Leipzig,NA,Germany,F,37,Married,Retail,0,6,TRUE,FALSE
Randers,NA,Denmark,F,22,Single,Other,8,2,FALSE,TRUE
Fort Lauderdale,FL,United States,M,38,Unspecified,Sales,7,2,FALSE,TRUE
Beijing,NA,China,F,33,Married,Retail,3,8,TRUE,FALSE
Nanaimo,BC,Canada,F,30,Married,Retail,7,0,FALSE,TRUE
Haparanda,NA,Sweden,F,40,Married,Executive,3,6,TRUE,FALSE
Cupertino,CA,United States,F,37,Married,Other,0,3,TRUE,FALSE
Delhi,DL,India,M,22,Single,Sales,6,2,FALSE,TRUE
Conyers,GA,United States,M,36,Married,Executive,7,1,FALSE,TRUE
Fukui,NA,Japan,F,38,Married,Other,2,2,FALSE,TRUE
Suwa,NA,Japan,M,21,Single,Executive,10,3,FALSE,TRUE
Bern,NA,Switzerland,F,35,Married,Other,2,8,TRUE,FALSE
Verona,VR,Italy,M,35,Married,Executive,6,2,FALSE,TRUE
Grenoble,NA,France,F,31,Married,Executive,5,2,FALSE,TRUE
San Antonio,TX,United States,M,30,Married,Other,6,3,FALSE,TRUE
Southwark,NA,United Kingdom,M,33,Single,Trades,6,2,FALSE,TRUE
Córdoba,NA,Spain,M,41,Married,Other,0,2,TRUE,TRUE
Pamplona,NA,Spain,F,20,Single,Other,7,0,FALSE,TRUE
Vancouver,BC,Canada,M,33,Married,Trades,2,8,TRUE,FALSE
Köln,NA,Germany,M,23,Single,Professional,11,0,FALSE,TRUE
Genève,NA,Switzerland,F,33,Married,Other,5,0,FALSE,TRUE
San Luis,NA,Mexico,M,28,Single,Trades,6,2,FALSE,TRUE
Chicago,IL,United States,M,36,Married,Other,6,3,FALSE,TRUE
Sudbury,ON,Canada,M,26,Single,Professional,2,2,TRUE,TRUE
Ajmer,NA,India,F,46,Married,Executive,0,1,TRUE,TRUE
Guangzhou,NA,China,M,44,Married,Executive,7,1,FALSE,TRUE
Tampico,NA,Mexico,F,23,Married,Other,2,5,TRUE,FALSE
Hamburg,NA,Germany,M,25,Single,Trades,6,1,FALSE,TRUE
Navegantes,BR-SC,Brazil,M,21,Single,Executive,3,2,FALSE,TRUE
Perugia,NA,Italy,M,22,Single,Trades,9,2,FALSE,TRUE
Guangzhou,NA,China,F,24,Married,Retail,2,8,TRUE,FALSE
Exeter,NA,United Kingdom,M,31,Married,Trades,7,2,FALSE,TRUE
Ketchikan,AK,United States,F,33,Married,Executive,7,1,FALSE,TRUE
Billerica,MA,United States,M,39,Married,Executive,7,2,FALSE,TRUE
Manchester,NA,United Kingdom,F,36,Married,Other,0,7,TRUE,FALSE
Lille,NA,France,F,39,Married,Other,1,6,TRUE,FALSE
Basel,NA,Switzerland,F,28,Married,Other,1,3,TRUE,FALSE
México,NA,Mexico,M,32,Unspecified,Sales,3,1,FALSE,TRUE
Manaus,BR-AM,Brazil,F,38,Married,Other,1,1,TRUE,TRUE
Basel,NA,Switzerland,M,29,Single,Professional,8,3,FALSE,TRUE
Limoges,NA,France,F,47,Married,Other,7,1,FALSE,TRUE
Eindhoven,NA,Netherlands,M,19,Single,Other,6,0,FALSE,TRUE
Potsdam,NA,Germany,M,20,Single,Professional,9,2,FALSE,TRUE
Bremen,NA,Germany,M,32,Married,Trades,4,3,FALSE,TRUE
Hong Kong,NA,China,M,25,Single,Other,8,1,FALSE,TRUE
Orlando,FL,United States,F,31,Single,Retail,1,4,TRUE,FALSE
Broomfield,CO,United States,M,41,Married,Sales,5,0,FALSE,TRUE
Khabarovsk,NA,Russia,M,19,Single,Trades,7,1,FALSE,TRUE
Melbourne,Vic,Australia,F,49,Married,Executive,0,0,TRUE,TRUE
Nynäshamn,NA,Sweden,F,37,Married,Other,8,0,FALSE,TRUE
Portland,OR,United States,M,26,Single,Other,3,9,TRUE,FALSE
Singapore,Singapore,Singapore,F,32,Married,Other,1,7,TRUE,FALSE
Amravati,MP,India,F,41,Married,Other,2,3,TRUE,TRUE
Cuernavaca,NA,Mexico,M,23,Single,Executive,9,1,FALSE,TRUE
Padova,NA,Italy,M,33,Married,Sales,5,0,FALSE,TRUE
Leicester,NA,United Kingdom,M,31,Single,Professional,8,4,FALSE,TRUE
Alexandria,VA,United States,M,30,Single,Professional,7,1,FALSE,TRUE
Dresden,NA,Germany,M,36,Married,Sales,11,2,FALSE,TRUE
Basel,NA,Switzerland,M,35,Single,Other,9,2,FALSE,TRUE
Chyofu,NA,Japan,M,20,Single,Trades,7,1,FALSE,TRUE
Kasugai,NA,Japan,F,21,Married,Other,0,6,TRUE,FALSE
Mulhouse,NA,France,M,20,Single,Professional,3,3,TRUE,FALSE
Nova Iguaçu,BR-RJ,Brazil,M,24,Single,Trades,11,1,FALSE,TRUE
Qiqihaer,NA,China,M,22,Single,Sales,4,3,FALSE,TRUE
Sherbrooke,QC,Canada,F,30,Unspecified,Other,2,5,TRUE,FALSE
Brisbane,Qld,Australia,F,34,Married,Retail,2,6,TRUE,FALSE
Esbjerg,NA,Denmark,F,27,Married,Sales,6,2,FALSE,TRUE
Orsk,NA,Russia,M,41,Married,Trades,2,6,TRUE,FALSE
Zell am See,NA,Austria,F,47,Married,Other,1,6,TRUE,FALSE
Auburn University,AL,United States,M,25,Single,Other,3,1,FALSE,TRUE
Peoria,IL,United States,F,48,Married,Other,4,1,FALSE,TRUE
Singapore,Singapore,Singapore,F,35,Married,Other,3,4,TRUE,FALSE
Tokyo,NA,Japan,F,34,Single,Retail,0,6,TRUE,FALSE
Guadalajara,NA,Mexico,F,45,Unspecified,Hospitality,2,5,TRUE,FALSE
Timóteo,BR-MG,Brazil,F,22,Single,Other,6,3,FALSE,TRUE
Chihuahua,NA,Mexico,F,46,Married,Executive,3,1,FALSE,TRUE
Akishima,NA,Japan,M,19,Single,Professional,4,1,FALSE,TRUE
Mesquite,TX,United States,M,20,Single,Professional,8,0,FALSE,TRUE
Basel,NA,Switzerland,M,38,Married,Professional,7,1,FALSE,TRUE
Reading,NA,United Kingdom,F,20,Single,Other,6,0,FALSE,TRUE
Kiyose,NA,Japan,M,24,Single,Other,10,2,FALSE,TRUE
Stuttgart,NA,Germany,F,34,Unspecified,Other,1,5,TRUE,FALSE
Cangzhou,NA,China,F,21,Married,Other,1,3,TRUE,TRUE
Riverton,UT,United States,M,28,Single,Trades,9,2,FALSE,TRUE
Puebla,NA,Mexico,F,21,Single,Other,10,2,FALSE,TRUE
São Bernardo do Campo,BR-SP,Brazil,M,20,Single,Other,4,2,FALSE,TRUE
Peterborough,ON,Canada,M,20,Single,Trades,7,1,FALSE,TRUE
Qingdao,NA,China,M,41,Married,Trades,6,4,FALSE,TRUE
Vejle,NA,Denmark,F,42,Married,Executive,7,2,FALSE,TRUE
Smolensk,NA,Russia,F,26,Married,Other,2,5,TRUE,FALSE
Aguascalientes,NA,Mexico,F,37,Unspecified,Hospitality,2,0,TRUE,TRUE
Guarulhos,BR-SP,Brazil,F,24,Single,Other,2,9,TRUE,FALSE
Chongqing,NA,China,F,20,Married,Retail,1,5,TRUE,FALSE
Silkeborg,NA,Denmark,M,35,Unspecified,Sales,9,3,FALSE,TRUE
Venezia,VE,Italy,M,29,Single,Executive,5,1,FALSE,TRUE
Kristinehamn,NA,Sweden,F,36,Married,Retail,4,9,TRUE,FALSE
Grenoble,NA,France,F,24,Single,Other,12,2,FALSE,TRUE
Bedford,NA,United Kingdom,M,32,Single,Sales,6,1,FALSE,TRUE
Utrecht,NA,Netherlands,F,26,Married,Other,1,0,TRUE,TRUE
